Product Name                                      Price               
======================================================================
Roma Tomatoes                                     1 ea, $0.59/100g    
Cilantro                                          1 bunch, $1.49/1ea  
Ginger                                            160 g, $3.12/100g   
Garlic Bulbs, 3-count                             90 g, $0.50/1ea     
Colossal Garlic                                   $11.00/1kg $4.99/1lb
Mango                                             1 ea, $2.99/1ea     
Ataulfo Mango                                     1 ea, $2.99/1ea     
Spinach, Bunched                                  1 ea, $2.99/1ea     
Purple Eggplants                                  $4.39/1kg $1.99/1lb 
Red Onions, 3 lb Bag                              1.36 kg, $0.44/100g 
Long Eggplants                                    $5.49/1kg $2.49/1lb 
Mint, Fresh                                       1 bunch, $1.99/1ea  
Organic Garlic                                    115 g, $3.47/100g   
Naan Original 5 Flatbreads                        500 g, $0.60/100g   
Naan Original Flatbreads, 10 pack                 1 ea, $5.00/1ea     
Garlic Bulbs                                      1 kg, $0.70/100g    
Rapini                                            1 bunch, $3.99/1ea  
Opo Squash                                        $3.73/1kg $1.69/1lb 
Naan Garlic 5 Flatbreads                          500 g, $0.60/100g   
Naan Garlic Flatbreads                            1 kg, $0.50/100g    
Okra                                              $11.00/1kg $4.99/1lb
Red Onions, 10 lb Bag                             4.54 kg, $0.22/100g 
Paneer                                            350 g, $1.57/100g   
Noodles, Masala                                   70 g, $0.70/100g    
Coconuts                                          1 ea, $2.99/1ea     
Masala Munch Flavoured Snack                      115 g, $1.12/100g   
Garlic, Peeled                                    250 g, $1.20/100g   
Biscuit Original Glucose                          300 g, $0.50/100g   
Indian Eggplant                                   $6.15/1kg $2.79/1lb 
Pure Basmati Rice                                 4 kg, $0.42/100g    
Chilli Chatka Flavoured Snack                     115 g, $1.12/100g   
Fenugreek                                         1 bunch, $1.99/1ea  
Noodles Masala                                    280 g, $0.64/100g   
Butter Chicken Sauce                              375 ml, $1.20/100ml 
Frozen Samosa                                     400 g, $1.00/100g   
Veg Spring Roll                                   400 g, $1.00/100g   
Rice Basmati                                      4.54 kg, $0.44/100g 
Magic Masala ridged flavoured potato chips        165 g, $2.42/100g   
Chickpeas                                         540 ml, $0.28/100ml 
Plain Paratha                                     400 g, $0.62/100g   
Pure Original Basmati Rice                        907 g, $0.77/100g   
Karela                                            $6.59/1kg $2.99/1lb 
Chai Tea Latte Mix, Milk Tea                      224 g, $2.81/100g   
Paneer Tikka Masala                               283 g, $2.47/100g   
Almond Oil                                        237 ml, $2.32/100ml 
Tofu, Extra Firm                                  350 g, $1.14/100g   
Papaya                                            $5.49/1kg $2.49/1lb 
Baby Bok Choy                                     $6.59/1kg $2.99/1lb 
Snap Peas                                         200 g, $1.50/100g   
Dragon Fruit                                      1 ea, $3.99/1ea     
Instant Mi Goreng Fried Noodles                   5x85.0 g, $0.94/100g
Canned Coconut Milk                               400 ml, $0.57/100ml 
Coconut Milk                                      400 ml, $0.45/100ml 
Yellow Asian Pears                                $7.25/1kg $3.29/1lb 
Snow Peas                                         170 g, $2.94/100g   
Scented Jasmine Rice                              18.1 kg, $0.22/100g 
Chinese Carrots, Jumbo                            $4.39/1kg $1.99/1lb 
LoBok (Daikon Radish)                             $2.84/1kg $1.29/1lb 
Chinese Napa Cabbage                              $2.62/1kg $1.19/1lb 
Bean Sprouts                                      454 g, $0.44/100g   
Shanghai Bok Choy                                 $6.59/1kg $2.99/1lb 
Instant Noodles                                   400 g, $0.57/100g   
Japanese Yams                                     $6.59/1kg $2.99/1lb 
Tofu, Medium Firm                                 454 g, $0.66/100g   
Fuji Apples                                       $6.59/1kg $2.99/1lb 
Thai Hom Mali Scented Jasmine Rice                2 kg, $0.25/100g    
Hoisin Squeeze Sauce                              443 ml, $0.74/100ml 
Sriracha Hot Chili Sauce Original                 730 ml, $0.55/100ml 
Udon Noodles                                      800 g, $0.29/100g   
Vermicelli Longkou Pancit Sotanghon               8x50.0 g, $0.62/100g
Korean Roasted Seaweed Laver                      15 g, $13.27/100g   
Panda Brand Oyster Sauce                          510 ml, $0.78/100g  
100% Coconut Water                                1 l, $0.38/100ml    
Baby Bok Choy Jr                                  $6.59/1kg $2.99/1lb 
Shanghai Bok Choy Jr.                             $6.15/1kg $2.79/1lb 
Light Coconut Milk                                398 ml, $0.45/100ml 
Cashews, Salted                                   908 g, $1.98/100g   
Sushi Nori Roasted Seaweed Sheets                 27 g, $11.07/100g   
Kewpie Mayonnaise                                 517 ml, $1.35/100ml 
Soy Sauce                                         591 ml, $1.35/100ml 
Kongmoon Rice Stick Vermicelli                    400 g, $0.37/100g   
Tofu, Soft                                        300 g, $0.83/100g   
Sweetened Condensed Milk                          300 ml, $0.83/100ml 
Passion Fruit                                     1 ea, $1.69/1ea     
Chinese Bitter Melons                             $6.59/1kg $2.99/1lb 
Yogurt-Flavored Drink                             400 ml, $0.50/100ml 
Rice Paper                                        400 g, $0.87/100g   
Strawberry Tropical Cake                          180 g, $1.11/100g   
Sushi Ginger                                      340 g, $1.11/100g   
Lemongrass                                        1 ea, $1.27/1ea     
Plantains, Single                                 $3.73/1kg $1.69/1lb 
Chayote Squash                                    1 ea, $1.29/1ea     
Caribbean Sweet Potatoes                          $5.05/1kg $2.29/1lb 
Caribbean Avocado                                 1 ea, $3.99/1ea     
Cassava                                           $3.95/1kg $1.79/1lb 
Plantain Chips                                    85 g, $1.75/100g    
Eddoes                                            $5.93/1kg $2.69/1lb 
Sweet Plantain Chips                              85 g, $1.75/100g    
Yellow Dragon Fruit                               1 ea, $3.99/1ea     
Coconut Water with Pulp                           500 ml, $0.40/100ml 
Jamaican Beef Patty                               1.12 kg, $0.98/100g 
Spicy Ginger Beer                                 250 ml, $0.52/100ml 
Jamaican Beef Patties, Medium                     1.12 kg, $0.98/100g 
Jamaican Pumpkin                                  $3.95/1kg $1.79/1lb 
100% Pure Coconut Water                           500 ml, $0.40/100ml 
Chicken Vienna Sausages In Chicken Broth          130 g, $1.30/100g   
Granadilla                                        1 ea, $2.49/1ea     
Scotch Bonnet Hot Peppers                         113 g, $4.42/100g   
Hot Pepper Sauce, Large                           170 ml, $1.35/100ml 
Yellow Yams                                       $13.21/1kg $5.99/1lb
Biscuits with Malt                                150 g, $1.33/100g   
Ting, Grapefruit Drink                            300 ml, $0.43/100ml 
Jamaican Sweet Potatoes                           $13.21/1kg $5.99/1lb
Mango, Sweet                                      $9.90/1kg $4.49/1lb 
Coconut Milk, Powdered                            50 g, $1.98/100g    
Peanut Punch                                      240 ml, $0.62/100ml 
Malt Beverage                                     341 ml, $0.38/100ml 
Classic Malt Beverage                             330 ml, $0.54/100ml 
Jamaican Aloe                                     $3.73/1kg $1.69/1lb 
Jerk Marinade                                     350 ml, $1.43/100ml 
Chicken Vienna Sausages In Chicken Broth, Hot & Spicy130 g, $1.30/100g   
Pre-Cooked White Corn Meal                        1 kg, $0.43/100g    
Sweetened Condensed Whitener                      297 ml, $1.01/100ml 
Pre-Cooked Yellow Corn Meal                       1 kg, $0.43/100g    
Island Soda, Pineapple                            355 ml, $0.50/100ml 
New Treasure Long Grain Parboiled Rice            8 kg, $0.22/100g    
Milo, Chocolate Flavoured Drink Mix               400 g, $1.75/100g   
Sweetener Whitener                                300 ml, $0.66/100ml 
Corned Beef                                       326 g, $1.84/100g   
Water Melon Watermelon Hibiscus Soda              250 ml, $0.52/100ml 
Island Soda, Cream Soda                           355 ml, $0.50/100ml 
Caribbean Combos Rice & Red Kidney Beans Mix      175 g, $1.71/100g   
Flavour Pepper Sauce                              360 ml, $1.80/100ml 
Calypso Hot Sauce                                 300 ml, $1.26/100ml 
Pineapple Coconut Ice Cream                       500 ml, $1.20/100ml 
Boneless Skinless Chicken Breasts                 1.075 kg, $1.77/100g
Bone-in Skin-on Chicken Thighs                    840 g, $0.95/100g   
Chicken Wieners Original                          450 g, $1.00/100g   
Extra Lean Ground Chicken                         454 g, $1.76/100g   
Chicken Thigh, Club Pack                          1.54 kg, $0.84/100g 
Halloom Semi-Soft Unripened Cheese                250 g, $3.20/100g   
Skin-on Chicken Legs                              1.28 kg, $0.78/100g 
Skin-on Chicken Drumsticks                        1.575 kg, $0.83/100g
Chicken Drumsticks, Halal                         840 g, $0.95/100g   
Chicken Legs                                      1.6 kg, $0.75/100g  
Chicken Bologna                                   375 g, $10.64/1kg $1.06/100g
Free From Lean Ground Lamb                        454 g, $3.52/100g   
Lean Beef                                         454 g, $1.76/100g   
Halal Chicken Wings, Club Pack                    2 kg, $1.10/100g    
