Product Name                                      Price               
======================================================================
Roma Tomatoes                                     1 ea, $0.55/100g    
Cilantro                                          1 bunch, $1.49/1ea  
Ginger                                            160 g, $2.18/100g   
Garlic Bulbs, 3-count                             90 g, $0.33/1ea     
Colossal Garlic                                   $11.00/1kg $4.99/1lb
Mango                                             1 ea, $1.49/1ea     
Ataulfo Mango                                     1 ea, $1.49/1ea     
Purple Eggplants                                  $5.49/1kg $2.49/1lb 
Red Onions, 3 lb Bag                              1.36 kg, $0.37/100g 
Spinach, Bunched                                  1 ea, $2.49/1ea     
Mango Ataulfo, case                               1 ea, $6.77/1ea     
Long Eggplants                                    $4.39/1kg $1.99/1lb 
Mint, Fresh                                       1 bunch, $1.79/1ea  
Organic Garlic                                    115 g, $2.60/100g   
Naan Original 5 Flatbreads                        500 g, $0.56/100g   
Garlic Bulbs                                      1 kg, $0.70/100g    
Naan Original Flatbreads, 10 pack                 1 ea, $5.00/1ea     
Naan Garlic 5 Flatbreads                          500 g, $0.56/100g   
Opo Squash                                        $3.28/1kg $1.49/1lb 
Naan Garlic Flatbreads                            1 kg, $0.50/100g    
Rapini                                            1 bunch, $2.99/1ea  
Red Onions, 10 lb Bag                             4.54 kg, $0.22/100g 
Pure Basmati Rice                                 4 kg, $0.40/100g    
Coconuts                                          1 ea, $1.69/1ea     
Okra                                              $8.80/1kg $3.99/1lb 
Noodles, Masala                                   70 g, $0.41/100g    
Indian Eggplant                                   $5.49/1kg $2.49/1lb 
Garlic, Peeled                                    250 g, $1.20/100g   
Biscuit Original Glucose                          300 g, $0.42/100g   
Fenugreek                                         1 bunch, $1.99/1ea  
Veg Spring Roll                                   400 g, $0.75/100g   
Frozen Samosa                                     400 g, $0.75/100g   
Noodles Masala                                    280 g, $0.53/100g   
Dairy 3.2% Natural Yogurt                         750 g, $0.37/100g   
Karela                                            $4.39/1kg $1.99/1lb 
Magic Masala ridged flavoured potato chips        165 g, $2.12/100g   
Mango Red 3Ct                                     3 ea, $1.66/1ea     
Green Cardamom Seed                               50 g, $4.98/100g    
Pure Original Basmati Rice                        907 g, $0.77/100g   
Pure Basmati Rice, Bag                            1.81 kg, $0.66/100g 
Dairy 2% Natural Yogurt                           750 g, $0.37/100g   
Cumin Seeds, Jeera                                400 g, $1.75/100g   
Dal Makhani                                       283 g, $2.12/100g   
Mandarin Kinnow                                   $3.73/1kg           
Madras Curry Powder (Mild)                        400 g, $0.75/100g   
